0_1	+ 1
9_5m|12n_172m|12n_522|12n_590m	+ A^(4) - 2*A^(8) + 3*A^(12) - 3*A^(16) + 4*A^(20) - 3*A^(24) + 3*A^(28) - 2*A^(32) + A^(36) - A^(40)
9_6	+ A^(12) - A^(16) + 3*A^(20) - 3*A^(24) + 4*A^(28) - 5*A^(32) + 4*A^(36) - 3*A^(40) + 2*A^(44) - A^(48)
9_6m	- A^(-48) + 2*A^(-44) - 3*A^(-40) + 4*A^(-36) - 5*A^(-32) + 4*A^(-28) - 3*A^(-24) + 3*A^(-20) - A^(-16) + A^(-12)
9_7	+ A^(8) - A^(12) + 3*A^(16) - 4*A^(20) + 5*A^(24) - 5*A^(28) + 4*A^(32) - 3*A^(36) + 2*A^(40) - A^(44)
9_7m	- A^(-44) + 2*A^(-40) - 3*A^(-36) + 4*A^(-32) - 5*A^(-28) + 5*A^(-24) - 4*A^(-20) + 3*A^(-16) - A^(-12) + A^(-8)
9_8|11n_60m|12n_65	+ A^(-12) - 2*A^(-8) + 3*A^(-4) - 4 + 5*A^(4) - 5*A^(8) + 5*A^(12) - 3*A^(16) + 2*A^(20) - A^(24)
9_8m|11n_60|12n_65m	- A^(-24) + 2*A^(-20) - 3*A^(-16) + 5*A^(-12) - 5*A^(-8) + 5*A^(-4) - 4 + 3*A^(4) - 2*A^(8) + A^(12)
9_9	+ A^(12) - A^(16) + 3*A^(20) - 4*A^(24) + 5*A^(28) - 5*A^(32) + 5*A^(36) - 4*A^(40) + 2*A^(44) - A^(48)
9_9m	- A^(-48) + 2*A^(-44) - 4*A^(-40) + 5*A^(-36) - 5*A^(-32) + 5*A^(-28) - 4*A^(-24) + 3*A^(-20) - A^(-16) + A^(-12)
9_10	- A^(-44) + A^(-40) - 3*A^(-36) + 5*A^(-32) - 5*A^(-28) + 6*A^(-24) - 5*A^(-20) + 4*A^(-16) - 2*A^(-12) + A^(-8)
9_10m	+ A^(8) - 2*A^(12) + 4*A^(16) - 5*A^(20) + 6*A^(24) - 5*A^(28) + 5*A^(32) - 3*A^(36) + A^(40) - A^(44)
9_11	- A^(-36) + 2*A^(-32) - 4*A^(-28) + 5*A^(-24) - 5*A^(-20) + 6*A^(-16) - 4*A^(-12) + 3*A^(-8) - 2*A^(-4) + 1
