0_1	+ 1
4_39|4_39ms	- A^(8) + A^(8)*v^(2) - A^(10) + A^(10)*v + A^(10)*v^(2) + 2*A^(12)*v + A^(14)
4_39s|4_39m	+ A^(-14) + 2*A^(-12)*v - A^(-10) + A^(-10)*v + A^(-10)*v^(2) - A^(-8) + A^(-8)*v^(2)
4_40|4_40ms	+ A^(-2)*v - 1 + v + v^(2) - 2*A^(2) + 2*A^(2)*v^(2) - 2*A^(4)*v + A^(4)*v^(3)
4_40s|4_40m	- 2*A^(-4)*v + A^(-4)*v^(3) - 2*A^(-2) + 2*A^(-2)*v^(2) - 1 + v + v^(2) + A^(2)*v
4_41	+ A^(8) - 3*A^(8)*v^(2) + A^(8)*v^(4) - 2*A^(10)*v + A^(10)*v^(3)
4_41m	- 2*A^(-10)*v + A^(-10)*v^(3) + A^(-8) - 3*A^(-8)*v^(2) + A^(-8)*v^(4)
4_42	+ A^(6)*v - A^(6)*v^(3) - A^(8)*v^(2) - 2*A^(10)*v + A^(10)*v^(3) - A^(12) + A^(12)*v^(2)
4_42m	- A^(-12) + A^(-12)*v^(2) - 2*A^(-10)*v + A^(-10)*v^(3) - A^(-8)*v^(2) + A^(-6)*v - A^(-6)*v^(3)
4_43	+ 1 - v^(2) - A^(2)*v - 2*A^(4)*v^(2) + A^(4)*v^(4) - A^(6)*v + A^(6)*v^(3)
4_43m	- A^(-6)*v + A^(-6)*v^(3) - 2*A^(-4)*v^(2) + A^(-4)*v^(4) - A^(-2)*v + 1 - v^(2)
4_44|4_44ms	- A^(6)*v - A^(8)*v + 2*A^(10)*v + A^(12) + 2*A^(12)*v + A^(12)*v^(2) + 2*A^(14) + A^(14)*v
4_44s|4_44m	+ 2*A^(-14) + A^(-14)*v + A^(-12) + 2*A^(-12)*v + A^(-12)*v^(2) + 2*A^(-10)*v - A^(-8)*v - A^(-6)*v
4_45|4_45ms	- 1 - A^(2) + A^(4) + A^(4)*v^(2) + A^(6) + 2*A^(6)*v + A^(6)*v^(2) + A^(8) + 2*A^(8)*v
4_45s|4_45m	+ A^(-8) + 2*A^(-8)*v + A^(-6) + 2*A^(-6)*v + A^(-6)*v^(2) + A^(-4) + A^(-4)*v^(2) - A^(-2) - 1
4_46|4_46ms	- A^(-12) - A^(-10) - A^(-10)*v + A^(-6) + A^(-6)*v + A^(-4) - A^(-2)*v - 1
4_46s|4_46m	- 1 - A^(2)*v + A^(4) + A^(6) + A^(6)*v - A^(10) - A^(10)*v - A^(12)
4_47|4_47ms	+ 2*A^(4) + A^(4)*v + 3*A^(6) + A^(6)*v + 2*A^(8) - A^(10) - A^(12)
4_47s|4_47m	- A^(-12) - A^(-10) + 2*A^(-8) + 3*A^(-6) + A^(-6)*v + 2*A^(-4) + A^(-4)*v
4_48|4_48ms	- A^(2) + A^(4) + 3*A^(6) + 2*A^(8) + A^(8)*v + A^(10)*v
4_48s|4_48m	+ A^(-10)*v + 2*A^(-8) + A^(-8)*v + 3*A^(-6) + A^(-4) - A^(-2)
4_49|4_49ms	+ A^(4) + A^(4)*v + 3*A^(6) + A^(8) - A^(10) - A^(12)
4_49s|4_49m	- A^(-12) - A^(-10) + A^(-8) + 3*A^(-6) + A^(-4) + A^(-4)*v
4_50|4_50ms	+ A^(8) + 2*A^(10) + 2*A^(12) + A^(12)*v + A^(14)*v
4_50s|4_50m	+ A^(-14)*v + 2*A^(-12) + A^(-12)*v + 2*A^(-10) + A^(-8)
4_51|4_51ms	+ A^(8) + 2*A^(10) + A^(12) + A^(12)*v - A^(16)
4_51s|4_51m	- A^(-16) + A^(-12) + A^(-12)*v + 2*A^(-10) + A^(-8)
4_52|4_52ms	- A^(6)*v - A^(8)*v + A^(10)*v + A^(12) + 2*A^(12)*v + 2*A^(14)
4_52s|4_52m	+ 2*A^(-14) + A^(-12) + 2*A^(-12)*v + A^(-10)*v - A^(-8)*v - A^(-6)*v
4_53|4_53ms	- 1 - A^(2) + A^(4)*v^(2) + A^(6) + A^(6)*v + A^(6)*v^(2) + 2*A^(8)*v
4_53s|4_53m	+ 2*A^(-8)*v + A^(-6) + A^(-6)*v + A^(-6)*v^(2) + A^(-4)*v^(2) - A^(-2) - 1
4_54|4_54ms	+ A^(2)*v + A^(4)*v + A^(4)*v^(2) + 2*A^(6)*v^(2) - A^(8) - A^(8)*v + A^(8)*v^(3) - 2*A^(10) - A^(12)*v
4_54s|4_54m	- A^(-12)*v - 2*A^(-10) - A^(-8) - A^(-8)*v + A^(-8)*v^(3) + 2*A^(-6)*v^(2) + A^(-4)*v + A^(-4)*v^(2) + A^(-2)*v
4_55|4_55ms	+ A^(-4) + A^(-2) + A^(-2)*v + 2*v - A^(2) - A^(2)*v + A^(2)*v^(2) - 2*A^(4)*v - A^(6)*v^(2)
4_55s|4_55m	- A^(-6)*v^(2) - 2*A^(-4)*v - A^(-2) - A^(-2)*v + A^(-2)*v^(2) + 2*v + A^(2) + A^(2)*v + A^(4)
4_56|4_56ms	+ A^(-14) + A^(-12)*v - A^(-10) - A^(-8)*v + A^(-6) + A^(-4) + A^(-4)*v + A^(-2)
4_56s|4_56m	+ A^(2) + A^(4) + A^(4)*v + A^(6) - A^(8)*v - A^(10) + A^(12)*v + A^(14)
