k0.1	1
k4.46	+ A^(-14)*v - A^(-12) + A^(-12)*v^(2) - A^(-10)*v - A^(-8)*v^(2) + A^(-6)*v + A^(-4)*v^(2)
k4.46m	+ A^(4)*v^(2) + A^(6)*v - A^(8)*v^(2) - A^(10)*v - A^(12) + A^(12)*v^(2) + A^(14)*v
k4.47	+ A^(-8)*v^(2) - A^(-6)*v + A^(-6)*v^(3) - A^(-4)*v^(2) - A^(-2)*v^(3) + 1 + A^(2)*v
k4.47m	+ A^(-2)*v + 1 - A^(2)*v^(3) - A^(4)*v^(2) - A^(6)*v + A^(6)*v^(3) + A^(8)*v^(2)
k4.48	- A^(-10)*v + A^(-8) - A^(-8)*v^(2) + A^(-6)*v^(3) - A^(-4)*v^(2) + A^(-4)*v^(4) - A^(-2)*v - v^(2)
k4.48m	- v^(2) - A^(2)*v - A^(4)*v^(2) + A^(4)*v^(4) + A^(6)*v^(3) + A^(8) - A^(8)*v^(2) - A^(10)*v
k4.49	- A^(-4)*v^(2) + A^(-2)*v - A^(-2)*v^(3) + v^(2) - A^(2)*v + A^(2)*v^(3) - A^(4) - A^(6)*v
k4.49m	- A^(-6)*v - A^(-4) - A^(-2)*v + A^(-2)*v^(3) + v^(2) + A^(2)*v - A^(2)*v^(3) - A^(4)*v^(2)
k4.50	- 2*A^(-10)*v + A^(-10)*v^(3) + A^(-8) - 3*A^(-8)*v^(2) + A^(-8)*v^(4)
k4.50m	+ A^(8) - 3*A^(8)*v^(2) + A^(8)*v^(4) - 2*A^(10)*v + A^(10)*v^(3)
k4.51	+ A^(-14)*v + A^(-12)*v^(2) - A^(-8)*v^(2) - A^(-4) + A^(-4)*v^(2)
k4.51m	- A^(4) + A^(4)*v^(2) - A^(8)*v^(2) + A^(12)*v^(2) + A^(14)*v
k4.52	- A^(-10)*v + A^(-6)*v^(3) + A^(-4)*v^(2) + A^(-2)*v - A^(-2)*v^(3) + 1 - v^(2)
k4.52m	+ 1 - v^(2) + A^(2)*v - A^(2)*v^(3) + A^(4)*v^(2) + A^(6)*v^(3) - A^(10)*v
k4.53	- A^(-10)*v - A^(-8)*v^(2) - A^(-6)*v + A^(-6)*v^(3) - A^(-4)*v^(2) + A^(-4)*v^(4) + 1 - v^(2)
k4.53m	 + 1 - v^(2) - A^(4)*v^(2) + A^(4)*v^(4) - A^(6)*v + A^(6)*v^(3) - A^(8)*v^(2) - A^(10)*v
k4.54	- A^(-4) + A^(-4)*v^(2) - A^(-2)*v + A^(-2)*v^(3) + A^(2)*v - A^(2)*v^(3) + A^(6)*v
k4.54m	+ A^(-6)*v + A^(-2)*v - A^(-2)*v^(3) - A^(2)*v + A^(2)*v^(3) - A^(4) + A^(4)*v^(2)
k4.55	- A^(-12) - A^(-10) - A^(-10)*v + A^(-6) + A^(-6)*v + A^(-4) - A^(-2)*v - 1
k4.55m	-1 - A^2*v + A^4 + A^6*v + A^6 - A^10*v - A^10 - A^12
