k0.1	1
k5.143m	+ A^(4) - A^(4)*v^(2) + A^(6)*v - A^(6)*v^(3) + A^(10)*v + A^(12) - A^(16)
k5.144	- A^(-18)*v - A^(-16) + A^(-14)*v^(3) + A^(-12) + A^(-12)*v^(2) + A^(-10)*v - A^(-10)*v^(3) - A^(-8)*v^(2) + A^(-4)
k5.144m	+ A^(4) - A^(8)*v^(2) + A^(10)*v - A^(10)*v^(3) + A^(12) + A^(12)*v^(2) + A^(14)*v^(3) - A^(16) - A^(18)*v
k5.145	- A^(-18)*v + A^(-16) - A^(-16)*v^(2) + A^(-14)*v + A^(-12)*v^(2) - A^(-10)*v - A^(-8)*v^(2) + A^(-6)*v + A^(-4)*v^(2)
k5.145m	+ A^(4)*v^(2) + A^(6)*v - A^(8)*v^(2) - A^(10)*v + A^(12)*v^(2) + A^(14)*v + A^(16) - A^(16)*v^(2) - A^(18)*v
k5.146	- A^(-18)*v - A^(-16)*v^(2) + A^(-14)*v + 2*A^(-12)*v^(2) + A^(-8) - 2*A^(-8)*v^(2) + A^(-4)*v^(2)
k5.146m	+ A^(4)*v^(2) + A^(8) - 2*A^(8)*v^(2) + 2*A^(12)*v^(2) + A^(14)*v - A^(16)*v^(2) - A^(18)*v
k5.147	- A^(-18)*v - A^(-16)*v^(2) + A^(-14)*v - A^(-12) + 2*A^(-12)*v^(2) - A^(-10)*v - 2*A^(-8)*v^(2) + A^(-4)*v^(2)
k5.147m	+ A^(4)*v^(2) - 2*A^(8)*v^(2) - A^(10)*v - A^(12) + 2*A^(12)*v^(2) + A^(14)*v - A^(16)*v^(2) - A^(18)*v
k5.148	- A^(-16)*v^(2) + A^(-14)*v - A^(-14)*v^(3) + A^(-12)*v^(2) + A^(-10)*v^(3) + A^(-8) - A^(-8)*v^(2) + A^(-6)*v - A^(-6)*v^(3)
k5.148m	+ A^(6)*v - A^(6)*v^(3) + A^(8) - A^(8)*v^(2) + A^(10)*v^(3) + A^(12)*v^(2) + A^(14)*v - A^(14)*v^(3) - A^(16)*v^(2)
k5.149	- A^(-16)*v^(2) - A^(-14)*v^(3) - A^(-12) + A^(-12)*v^(2) - 2*A^(-10)*v + 2*A^(-10)*v^(3) + A^(-6)*v - A^(-6)*v^(3)
k5.149m	+ A^(6)*v - A^(6)*v^(3) - 2*A^(10)*v + 2*A^(10)*v^(3) - A^(12) + A^(12)*v^(2) - A^(14)*v^(3) - A^(16)*v^(2)
k5.150	- A^(-24) - A^(-22)*v + A^(-20) + 2*A^(-18)*v - 2*A^(-14)*v + A^(-12) - A^(-12)*v^(2) + A^(-10)*v + A^(-8)*v^(2)
k5.150m	+ A^(8)*v^(2) + A^(10)*v + A^(12) - A^(12)*v^(2) - 2*A^(14)*v + 2*A^(18)*v + A^(20) - A^(22)*v - A^(24)
k5.151	- A^(-22)*v + A^(-20) - A^(-20)*v^(2) + A^(-18)*v - A^(-16) + A^(-16)*v^(2) - A^(-14)*v + A^(-12) - A^(-12)*v^(2) + A^(-10)*v + A^(-8)*v^(2)
k5.151m	+ A^(8)*v^(2) + A^(10)*v + A^(12) - A^(12)*v^(2) - A^(14)*v - A^(16) + A^(16)*v^(2) + A^(18)*v + A^(20) - A^(20)*v^(2) - A^(22)*v
k5.152	- A^(-18)*v + A^(-14)*v + A^(-14)*v^(3) + A^(-12)*v^(2) - A^(-10)*v - A^(-10)*v^(3) - A^(-8) - A^(-8)*v^(2) + 2*A^(-6)*v + A^(-4) + A^(-4)*v^(2) - 1
k5.152m	- 1 + A^(4) + A^(4)*v^(2) + 2*A^(6)*v - A^(8) - A^(8)*v^(2) - A^(10)*v - A^(10)*v^(3) + A^(12)*v^(2) + A^(14)*v + A^(14)*v^(3) - A^(18)*v
k5.153	- A^(-18)*v + A^(-14)*v + A^(-14)*v^(3) + A^(-12)*v^(2) - 2*A^(-10)*v - A^(-10)*v^(3) - A^(-8) - 2*A^(-8)*v^(2) + A^(-6)*v + A^(-4) + A^(-4)*v^(2) - 1
k5.153m	- 1 + A^(4) + A^(4)*v^(2) + A^(6)*v - A^(8) - 2*A^(8)*v^(2) - 2*A^(10)*v - A^(10)*v^(3) + A^(12)*v^(2) + A^(14)*v + A^(14)*v^(3) - A^(18)*v
k5.154	- A^(-18)*v - A^(-16)*v^(2) + 2*A^(-14)*v + 2*A^(-12)*v^(2) - A^(-10)*v - A^(-8) - A^(-8)*v^(2) + A^(-6)*v + A^(-4) + A^(-4)*v^(2) - 1
k5.154m	- 1 + A^(4) + A^(4)*v^(2) + A^(6)*v - A^(8) - A^(8)*v^(2) - A^(10)*v + 2*A^(12)*v^(2) + 2*A^(14)*v - A^(16)*v^(2) - A^(18)*v
k5.155	- A^(-18)*v - A^(-16)*v^(2) + 2*A^(-14)*v + 2*A^(-12)*v^(2) - 2*A^(-10)*v - A^(-8) - 2*A^(-8)*v^(2) + A^(-4) + A^(-4)*v^(2) - 1
k5.155m	- 1 + A^(4) + A^(4)*v^(2) - A^(8) - 2*A^(8)*v^(2) - 2*A^(10)*v + 2*A^(12)*v^(2) + 2*A^(14)*v - A^(16)*v^(2) - A^(18)*v
k5.156	- A^(-18)*v - A^(-16)*v^(2) + A^(-14)*v + A^(-12) + A^(-12)*v^(2) - A^(-10)*v - A^(-8) - A^(-8)*v^(2) + A^(-4)*v^(2) - 1
k5.156m	- 1 + A^(4)*v^(2) - A^(8) - A^(8)*v^(2) - A^(10)*v + A^(12) + A^(12)*v^(2) + A^(14)*v - A^(16)*v^(2) - A^(18)*v
k5.157	- A^(-12)*v^(2) - A^(-10)*v - A^(-8) + 2*A^(-8)*v^(2) + 2*A^(-6)*v + A^(-4) - A^(-4)*v^(2) - 2*A^(-2)*v - 1
k5.157m	- 1 - 2*A^(2)*v + A^(4) - A^(4)*v^(2) + 2*A^(6)*v - A^(8) + 2*A^(8)*v^(2) - A^(10)*v - A^(12)*v^(2)
k5.158	- A^(-12)*v^(2) - 2*A^(-10)*v - A^(-8) + A^(-8)*v^(2) + 2*A^(-6)*v + A^(-4) - A^(-2)*v - 1
k5.158m	- 1 - A^(2)*v + A^(4) + 2*A^(6)*v - A^(8) + A^(8)*v^(2) - 2*A^(10)*v - A^(12)*v^(2)
k5.159	- A^(-18)*v + A^(-14)*v + A^(-14)*v^(3) + A^(-12)*v^(2) - A^(-10)*v - A^(-10)*v^(3) - A^(-8) - A^(-8)*v^(2) + A^(-6)*v + A^(-4) - A^(-2)*v - 1
k5.159m	- 1 - A^(2)*v + A^(4) + A^(6)*v - A^(8) - A^(8)*v^(2) - A^(10)*v - A^(10)*v^(3) + A^(12)*v^(2) + A^(14)*v + A^(14)*v^(3) - A^(18)*v
k5.160	- 2*A^(-10)*v + A^(-10)*v^(3) - A^(-8) + A^(-8)*v^(2) + 2*A^(-6)*v - A^(-6)*v^(3) + A^(-4) - A^(-4)*v^(2) - A^(-2)*v - 1
k5.160m	- 1 - A^(2)*v + A^(4) - A^(4)*v^(2) + 2*A^(6)*v - A^(6)*v^(3) - A^(8) + A^(8)*v^(2) - 2*A^(10)*v + A^(10)*v^(3)
k5.161	- 2*A^(-10)*v + A^(-10)*v^(3) - A^(-6)*v + 3*A^(-6)*v^(3) - A^(-6)*v^(5) - A^(-4) + 3*A^(-4)*v^(2) - A^(-4)*v^(4)
k5.161m	- A^(4) + 3*A^(4)*v^(2) - A^(4)*v^(4) - A^(6)*v + 3*A^(6)*v^(3) - A^(6)*v^(5) - 2*A^(10)*v + A^(10)*v^(3)
k5.162	- A^(-12) + A^(-12)*v^(2) - A^(-10)*v + A^(-10)*v^(3) + 2*A^(-8)*v^(2) - A^(-8)*v^(4) + 2*A^(-6)*v^(3) - A^(-6)*v^(5) - 2*A^(-2)*v + A^(-2)*v^(3)
k5.162m	- 2*A^(2)*v + A^(2)*v^(3) + 2*A^(6)*v^(3) - A^(6)*v^(5) + 2*A^(8)*v^(2) - A^(8)*v^(4) - A^(10)*v + A^(10)*v^(3) - A^(12) + A^(12)*v^(2)
k5.163	- A^(-12) + A^(-12)*v^(2) + A^(-8)*v^(2) - A^(-8)*v^(4) + A^(-6)*v - A^(-6)*v^(3) - 2*A^(-4)*v^(2) + A^(-4)*v^(4) - 2*A^(-2)*v + A^(-2)*v^(3)
k5.163m	- 2*A^(2)*v + A^(2)*v^(3) - 2*A^(4)*v^(2) + A^(4)*v^(4) + A^(6)*v - A^(6)*v^(3) + A^(8)*v^(2) - A^(8)*v^(4) - A^(12) + A^(12)*v^(2)
k5.164	- A^(-12) + A^(-8)*v^(2) + A^(-6)*v - A^(-4)*v^(2) - 2*A^(-2)*v
k5.164m	- 2*A^(2)*v - A^(4)*v^(2) + A^(6)*v + A^(8)*v^(2) - A^(12)
k5.165	- A^(-12) + 3*A^(-12)*v^(2) - A^(-12)*v^(4) - 3*A^(-10)*v + 4*A^(-10)*v^(3) - A^(-10)*v^(5)
k5.165m	- 3*A^(10)*v + 4*A^(10)*v^(3) - A^(10)*v^(5) - A^(12) + 3*A^(12)*v^(2) - A^(12)*v^(4)
k5.166	- A^(-10)*v + A^(-6)*v^(3) + A^(-2)*v - 2*A^(-2)*v^(3) - v^(2) - A^(2)*v + A^(2)*v^(3) - A^(4) + A^(4)*v^(2)
k5.166m	- A^(-4) + A^(-4)*v^(2) - A^(-2)*v + A^(-2)*v^(3) - v^(2) + A^(2)*v - 2*A^(2)*v^(3) + A^(6)*v^(3) - A^(10)*v
k5.167	- A^(-10)*v - A^(-6)*v + 2*A^(-6)*v^(3) + A^(-4)*v^(2) + A^(-2)*v^(3) - A^(-2)*v^(5) + v^(2) - v^(4) - A^(2)*v + A^(2)*v^(3) - A^(4) + A^(4)*v^(2)
k5.167m	- A^(-4) + A^(-4)*v^(2) - A^(-2)*v + A^(-2)*v^(3) + v^(2) - v^(4) + A^(2)*v^(3) - A^(2)*v^(5) + A^(4)*v^(2) - A^(6)*v + 2*A^(6)*v^(3) - A^(10)*v
k5.168	- A^(-10)*v - A^(-8)*v^(2) - A^(-6)*v + A^(-6)*v^(3) - A^(-4)*v^(2) + A^(-4)*v^(4) + A^(-2)*v - A^(-2)*v^(3) + v^(2) - v^(4) - A^(4) + A^(4)*v^(2)
k5.168m	- A^(-4) + A^(-4)*v^(2) + v^(2) - v^(4) + A^(2)*v - A^(2)*v^(3) - A^(4)*v^(2) + A^(4)*v^(4) - A^(6)*v + A^(6)*v^(3) - A^(8)*v^(2) - A^(10)*v
k5.169	- A^(-10)*v^(3) + A^(-8)*v^(2) - A^(-8)*v^(4) + A^(-6)*v^(3) - A^(-4) + A^(-4)*v^(4) - A^(-2)*v - v^(2)
k5.169m	- v^(2) - A^(2)*v - A^(4) + A^(4)*v^(4) + A^(6)*v^(3) + A^(8)*v^(2) - A^(8)*v^(4) - A^(10)*v^(3)
k5.170	- A^(-12) + 2*A^(-8) + A^(-8)*v^(2) + 2*A^(-6)*v - A^(-4) - A^(-4)*v^(2) - 3*A^(-2)*v + 1 + 2*A^(2)*v - A^(6)*v
k5.170m	- A^(-6)*v + 2*A^(-2)*v + 1 - 3*A^(2)*v - A^(4) - A^(4)*v^(2) + 2*A^(6)*v + 2*A^(8) + A^(8)*v^(2) - A^(12)
k5.171	- A^(-12) + 2*A^(-8)*v^(2) + A^(-6)*v - A^(-4)*v^(2) - A^(-4)*v^(4) - A^(-2)*v - A^(-2)*v^(3) + v^(4) + A^(2)*v^(3) - A^(4)*v^(2) - A^(6)*v
k5.171m	- A^(-6)*v - A^(-4)*v^(2) + A^(-2)*v^(3) + v^(4) - A^(2)*v - A^(2)*v^(3) - A^(4)*v^(2) - A^(4)*v^(4) + A^(6)*v + 2*A^(8)*v^(2) - A^(12)
k5.172	- A^(-12) + 2*A^(-8)*v^(2) + A^(-6)*v - A^(-4)*v^(2) - A^(-4)*v^(4) - A^(-2)*v^(3) + v^(2) + v^(4) + A^(2)*v + A^(2)*v^(3) - A^(4)*v^(2) - A^(6)*v
k5.172m	- A^(-6)*v - A^(-4)*v^(2) + A^(-2)*v + A^(-2)*v^(3) + v^(2) + v^(4) - A^(2)*v^(3) - A^(4)*v^(2) - A^(4)*v^(4) + A^(6)*v + 2*A^(8)*v^(2) - A^(12)
k5.173	- A^(-12) + A^(-12)*v^(2) + A^(-8)*v^(2) - A^(-8)*v^(4) + 2*A^(-6)*v - A^(-6)*v^(3) - A^(-4)*v^(2) + A^(-4)*v^(4) - A^(-2)*v + A^(-2)*v^(3)
k5.173m	- A^(2)*v + A^(2)*v^(3) - A^(4)*v^(2) + A^(4)*v^(4) + 2*A^(6)*v - A^(6)*v^(3) + A^(8)*v^(2) - A^(8)*v^(4) - A^(12) + A^(12)*v^(2)
k5.174	- A^(-12) + A^(-12)*v^(2) - 2*A^(-10)*v + A^(-10)*v^(3) + A^(-8)*v^(2) - A^(-8)*v^(4) + 2*A^(-6)*v^(3) - A^(-6)*v^(5) + A^(-4)*v^(2) - A^(-2)*v + A^(-2)*v^(3)
k5.174m	- A^(2)*v + A^(2)*v^(3) + A^(4)*v^(2) + 2*A^(6)*v^(3) - A^(6)*v^(5) + A^(8)*v^(2) - A^(8)*v^(4) - 2*A^(10)*v + A^(10)*v^(3) - A^(12) + A^(12)*v^(2)
k5.175	- A^(-12) + A^(-8) + A^(-8)*v^(2) + A^(-6)*v - 2*A^(-4) - A^(-4)*v^(2) - 2*A^(-2)*v + 1 + v^(2) + 3*A^(2)*v - A^(6)*v
k5.175m	- A^(-6)*v + 3*A^(-2)*v + 1 + v^(2) - 2*A^(2)*v - 2*A^(4) - A^(4)*v^(2) + A^(6)*v + A^(8) + A^(8)*v^(2) - A^(12)
k5.176	- A^(-12) + A^(-8) + A^(-8)*v^(2) + A^(-6)*v - 2*A^(-4) - A^(-4)*v^(2) - 3*A^(-2)*v + 1 + 2*A^(2)*v - A^(6)*v
k5.176m	- A^(-6)*v + 2*A^(-2)*v + 1 - 3*A^(2)*v - 2*A^(4) - A^(4)*v^(2) + A^(6)*v + A^(8) + A^(8)*v^(2) - A^(12)
k5.177	- A^(-12) + A^(-8) + A^(-8)*v^(2) + A^(-6)*v - A^(-4) - A^(-4)*v^(2) - 2*A^(-2)*v + 1 + A^(2)*v - A^(4) - A^(6)*v
k5.177m	- A^(-6)*v - A^(-4) + A^(-2)*v + 1 - 2*A^(2)*v - A^(4) - A^(4)*v^(2) + A^(6)*v + A^(8) + A^(8)*v^(2) - A^(12)
k5.178	- A^(-12) + A^(-8) + A^(-8)*v^(2) + A^(-6)*v - A^(-4) - A^(-4)*v^(2) - A^(-2)*v + 1 + v^(2) + 2*A^(2)*v - A^(4) - A^(6)*v
k5.178m	- A^(-6)*v - A^(-4) + 2*A^(-2)*v + 1 + v^(2) - A^(2)*v - A^(4) - A^(4)*v^(2) + A^(6)*v + A^(8) + A^(8)*v^(2) - A^(12)
k5.179	- A^(-12) + A^(-8)*v^(2) - 2*A^(-4)*v^(2) - A^(-2)*v + 2*v^(2) + A^(2)*v - A^(4)*v^(2) - A^(6)*v
k5.179m	- A^(-6)*v - A^(-4)*v^(2) + A^(-2)*v + 2*v^(2) - A^(2)*v - 2*A^(4)*v^(2) + A^(8)*v^(2) - A^(12)
k5.180	 - A^(-12) - A^(-10)*v + 2*A^(-8) + 2*A^(-6)*v - A^(-4) - 2*A^(-2)*v + 1 + 2*A^(2)*v - A^(6)*v
k5.180m	- A^(-6)*v + 2*A^(-2)*v + 1 - 2*A^(2)*v - A^(4) + 2*A^(6)*v + 2*A^(8) - A^(10)*v - A^(12)
k5.181	- A^(-12) - A^(-10)*v + 2*A^(-8) + 2*A^(-6)*v - A^(-4) - A^(-4)*v^(2) - A^(-2)*v - A^(-2)*v^(3) + 1 + 3*A^(2)*v - A^(6)*v
k5.181m	- A^(-6)*v + 3*A^(-2)*v + 1 - A^(2)*v - A^(2)*v^(3) - A^(4) - A^(4)*v^(2) + 2*A^(6)*v + 2*A^(8) - A^(10)*v - A^(12)
k5.182	- A^(-12) - A^(-10)*v + 2*A^(-8)*v^(2) + 2*A^(-6)*v^(3) - A^(-4)*v^(4) - A^(-2)*v - A^(-2)*v^(5) + v^(2) + 2*A^(2)*v^(3) - A^(6)*v
k5.182m	- A^(-6)*v + 2*A^(-2)*v^(3) + v^(2) - A^(2)*v - A^(2)*v^(5) - A^(4)*v^(4) + 2*A^(6)*v^(3) + 2*A^(8)*v^(2) - A^(10)*v - A^(12)
k5.183	 - A^(-12) - A^(-10)*v + A^(-8) + 2*A^(-6)*v - A^(-4) + A^(-4)*v^(2) - A^(-2)*v + 1 - v^(2) + A^(2)*v - A^(4) + A^(4)*v^(2)
k5.183m	- A^(-4) + A^(-4)*v^(2) + A^(-2)*v + 1 - v^(2) - A^(2)*v - A^(4) + A^(4)*v^(2) + 2*A^(6)*v + A^(8) - A^(10)*v - A^(12)
k5.184	- A^(-12) + 2*A^(-8) + A^(-8)*v^(2) + 2*A^(-6)*v - A^(-4) - 2*A^(-4)*v^(2) - 2*A^(-2)*v - A^(-2)*v^(3) + 1 + 3*A^(2)*v - A^(6)*v
k5.184m	- A^(-6)*v + 3*A^(-2)*v + 1 - 2*A^(2)*v - A^(2)*v^(3) - A^(4) - 2*A^(4)*v^(2) + 2*A^(6)*v + 2*A^(8) + A^(8)*v^(2) - A^(12)
k5.185	- A^(-12) - A^(-10)*v + A^(-8) + A^(-6)*v - 2*A^(-4) - 2*A^(-2)*v + 1 + 2*A^(2)*v - A^(6)*v
k5.185m	- A^(-6)*v + 2*A^(-2)*v + 1 - 2*A^(2)*v - 2*A^(4) + A^(6)*v + A^(8) - A^(10)*v - A^(12)
k5.186	- A^(-12) - A^(-10)*v + A^(-8) + A^(-6)*v - A^(-4) - 2*A^(-2)*v + 1 - v^(2) + A^(2)*v - A^(4) + A^(4)*v^(2)
k5.186m	- A^(-4) + A^(-4)*v^(2) + A^(-2)*v + 1 - v^(2) - 2*A^(2)*v - A^(4) + A^(6)*v + A^(8) - A^(10)*v - A^(12)
k5.187	- A^(-12) + 2*A^(-8) + A^(-8)*v^(2) + A^(-6)*v - A^(-4) - 2*A^(-4)*v^(2) - 3*A^(-2)*v + 1 + v^(2) + 3*A^(2)*v - A^(6)*v
k5.187m	- A^(-6)*v + 3*A^(-2)*v + 1 + v^(2) - 3*A^(2)*v - A^(4) - 2*A^(4)*v^(2) + A^(6)*v + 2*A^(8) + A^(8)*v^(2) - A^(12)
k5.188	- A^(-12) - A^(-10)*v + A^(-8)*v^(2) + A^(-6)*v + A^(-6)*v^(3) - A^(-2)*v - A^(-2)*v^(3) - v^(2)
k5.188m	- v^(2) - A^(2)*v - A^(2)*v^(3) + A^(6)*v + A^(6)*v^(3) + A^(8)*v^(2) - A^(10)*v - A^(12)
k5.189	- A^(-12) - A^(-10)*v + A^(-8)*v^(2) + A^(-6)*v + A^(-6)*v^(3) - A^(-4)*v^(2) - 2*A^(-2)*v^(3) + A^(2)*v^(3) - A^(6)*v
k5.189m	- A^(-6)*v + A^(-2)*v^(3) - 2*A^(2)*v^(3) - A^(4)*v^(2) + A^(6)*v + A^(6)*v^(3) + A^(8)*v^(2) - A^(10)*v - A^(12)
k5.190	- A^(-12) - A^(-10)*v + A^(-8)*v^(2) + A^(-6)*v^(3) - 2*A^(-4)*v^(2) - 2*A^(-2)*v^(3) + v^(2) + A^(2)*v + A^(2)*v^(3) - A^(6)*v
k5.190m	- A^(-6)*v + A^(-2)*v + A^(-2)*v^(3) + v^(2) - 2*A^(2)*v^(3) - 2*A^(4)*v^(2) + A^(6)*v^(3) + A^(8)*v^(2) - A^(10)*v - A^(12)
k5.191	- A^(-14)*v - A^(-12)*v^(2) + A^(-8)*v^(2) - A^(-4)*v^(2) + v^(2) - A^(4)
k5.191m	- A^(-4) + v^(2) - A^(4)*v^(2) + A^(8)*v^(2) - A^(12)*v^(2) - A^(14)*v
k5.192	- A^(-16) + A^(-12) - A^(-8) + A^(-4)*v^(2) - v^(2) - A^(2)*v
k5.192m	- A^(-2)*v - v^(2) + A^(4)*v^(2) - A^(8) + A^(12) - A^(16)
k5.193	- A^(-16) + A^(-16)*v^(2) - A^(-14)*v + A^(-14)*v^(3) + A^(-12) - A^(-12)*v^(2) - A^(-10)*v^(3) - A^(-8)
k5.193m	- A^(8) - A^(10)*v^(3) + A^(12) - A^(12)*v^(2) - A^(14)*v + A^(14)*v^(3) - A^(16) + A^(16)*v^(2)
k5.194	- A^(-16) - A^(-14)*v + A^(-12) - A^(-12)*v^(2) - A^(-8) + A^(-8)*v^(2)
k5.194m	- A^(8) + A^(8)*v^(2) + A^(12) - A^(12)*v^(2) - A^(14)*v - A^(16)
k5.195	- A^(-16)*v^(2) + A^(-14)*v - A^(-14)*v^(3) - A^(-12) + 2*A^(-12)*v^(2) - 2*A^(-10)*v + 2*A^(-10)*v^(3) - A^(-8)*v^(2) - A^(-6)*v^(3)
k5.195m	- A^(6)*v^(3) - A^(8)*v^(2) - 2*A^(10)*v + 2*A^(10)*v^(3) - A^(12) + 2*A^(12)*v^(2) + A^(14)*v - A^(14)*v^(3) - A^(16)*v^(2)
k5.196	- A^(-18)*v - A^(-16) + A^(-14)*v^(3) + A^(-12) + A^(-12)*v^(2) + A^(-10)*v - A^(-10)*v^(3) - A^(-8) - A^(-8)*v^(2) - A^(-6)*v
k5.196m	- A^(6)*v - A^(8) - A^(8)*v^(2) + A^(10)*v - A^(10)*v^(3) + A^(12) + A^(12)*v^(2) + A^(14)*v^(3) - A^(16) - A^(18)*v
k5.197	- A^(-18)*v - A^(-16) - A^(-16)*v^(2) + A^(-12) + A^(-12)*v^(2) + A^(-10)*v - A^(-8) - A^(-6)*v
k5.197m	- A^(6)*v - A^(8) + A^(10)*v + A^(12) + A^(12)*v^(2) - A^(16) - A^(16)*v^(2) - A^(18)*v
k5.198	- A^(-18)*v - A^(-16)*v^(2) + A^(-12)*v^(2) - A^(-8)*v^(2) - A^(-4) + A^(-4)*v^(2)
k5.198m	- A^(4) + A^(4)*v^(2) - A^(8)*v^(2) + A^(12)*v^(2) - A^(16)*v^(2) - A^(18)*v
k5.199	- A^(-4) + 2*A^(-4)*v^(2) - A^(-4)*v^(4) - 2*A^(-2)*v + 3*A^(-2)*v^(3) - A^(-2)*v^(5) + v^(2) - A^(2)*v + A^(2)*v^(3)
k5.199m	- A^(-2)*v + A^(-2)*v^(3) + v^(2) - 2*A^(2)*v + 3*A^(2)*v^(3) - A^(2)*v^(5) - A^(4) + 2*A^(4)*v^(2) - A^(4)*v^(4)
k5.200	- A^(-20) - A^(-18)*v + A^(-14)*v - A^(-10)*v + A^(-6)*v - A^(-2)*v
k5.200m	- A^(2)*v + A^(6)*v - A^(10)*v + A^(14)*v - A^(18)*v - A^(20)
k5.201	- A^(-22)*v + A^(-18)*v^(3) - A^(-16) + A^(-16)*v^(2) + A^(-14)*v - A^(-14)*v^(3) + A^(-12) - A^(-12)*v^(2) + A^(-10)*v - A^(-8) + A^(-8)*v^(2)
k5.201m	- A^(8) + A^(8)*v^(2) + A^(10)*v + A^(12) - A^(12)*v^(2) + A^(14)*v - A^(14)*v^(3) - A^(16) + A^(16)*v^(2) + A^(18)*v^(3) - A^(22)*v
k5.202	- A^(-22)*v + A^(-18)*v^(3) - A^(-16) + A^(-16)*v^(2) - A^(-14)*v^(3) + A^(-12) - 2*A^(-12)*v^(2) - A^(-8) + A^(-8)*v^(2)
k5.202m	- A^(8) + A^(8)*v^(2) + A^(12) - 2*A^(12)*v^(2) - A^(14)*v^(3) - A^(16) + A^(16)*v^(2) + A^(18)*v^(3) - A^(22)*v
k5.203	- A^(-22)*v + A^(-20) - A^(-20)*v^(2) + A^(-18)*v - A^(-16) + A^(-16)*v^(2) - A^(-14)*v - A^(-12)*v^(2) - A^(-8) + A^(-8)*v^(2)
k5.203m	- A^(8) + A^(8)*v^(2) - A^(12)*v^(2) - A^(14)*v - A^(16) + A^(16)*v^(2) + A^(18)*v + A^(20) - A^(20)*v^(2) - A^(22)*v
k5.204	- A^(-24) + 2*A^(-20) + A^(-18)*v - 2*A^(-16) - 2*A^(-14)*v + 2*A^(-12) + 2*A^(-10)*v - A^(-6)*v
k5.204m	- A^(6)*v + 2*A^(10)*v + 2*A^(12) - 2*A^(14)*v - 2*A^(16) + A^(18)*v + 2*A^(20) - A^(24)
k5.205	- A^(-24) + 2*A^(-20) + A^(-18)*v - 2*A^(-16) - 2*A^(-14)*v + A^(-12) + A^(-10)*v - A^(-8) - A^(-6)*v
k5.205m	- A^(6)*v - A^(8) + A^(10)*v + A^(12) - 2*A^(14)*v - 2*A^(16) + A^(18)*v + 2*A^(20) - A^(24)
k5.206	- A^(-24) + 2*A^(-20) - 2*A^(-16) - A^(-16)*v^(2) - 2*A^(-14)*v + 2*A^(-12) + A^(-12)*v^(2) + 3*A^(-10)*v - A^(-6)*v
k5.206m	- A^(6)*v + 3*A^(10)*v + 2*A^(12) + A^(12)*v^(2) - 2*A^(14)*v - 2*A^(16) - A^(16)*v^(2) + 2*A^(20) - A^(24)
k5.207	- A^(-24) + 2*A^(-20) - 2*A^(-16) - A^(-16)*v^(2) - 2*A^(-14)*v + A^(-12) + A^(-12)*v^(2) + 2*A^(-10)*v - A^(-8) - A^(-6)*v
k5.207m	- A^(6)*v - A^(8) + 2*A^(10)*v + A^(12) + A^(12)*v^(2) - 2*A^(14)*v - 2*A^(16) - A^(16)*v^(2) + 2*A^(20) - A^(24)
k5.208	- A^(-24) + A^(-20) + A^(-20)*v^(2) + A^(-18)*v - 2*A^(-16)*v^(2) - 2*A^(-14)*v + A^(-12) + A^(-12)*v^(2) + 2*A^(-10)*v - A^(-6)*v
k5.208m	- A^(6)*v + 2*A^(10)*v + A^(12) + A^(12)*v^(2) - 2*A^(14)*v - 2*A^(16)*v^(2) + A^(18)*v + A^(20) + A^(20)*v^(2) - A^(24)
k5.209	- A^(-24) + A^(-20) + A^(-20)*v^(2) + A^(-18)*v - A^(-16) - 2*A^(-16)*v^(2) - 3*A^(-14)*v + A^(-12)*v^(2) + 2*A^(-10)*v - A^(-6)*v
k5.209m	- A^(6)*v + 2*A^(10)*v + A^(12)*v^(2) - 3*A^(14)*v - A^(16) - 2*A^(16)*v^(2) + A^(18)*v + A^(20) + A^(20)*v^(2) - A^(24)
k5.210	- A^(-24) + A^(-20) - 2*A^(-16) - A^(-14)*v + 2*A^(-12) + A^(-10)*v - A^(-8) - A^(-6)*v
k5.210m	- A^(6)*v - A^(8) + A^(10)*v + 2*A^(12) - A^(14)*v - 2*A^(16) + A^(20) - A^(24)
k5.211	- A^(-24) - A^(-22)*v + A^(-20) + 2*A^(-18)*v - A^(-16) - 2*A^(-14)*v + A^(-10)*v - A^(-6)*v
k5.211m	- A^(6)*v + A^(10)*v - 2*A^(14)*v - A^(16) + 2*A^(18)*v + A^(20) - A^(22)*v - A^(24)
k5.212	- A^(-24) - A^(-22)*v + A^(-20) + A^(-20)*v^(2) + A^(-18)*v + A^(-18)*v^(3) - A^(-16) - A^(-16)*v^(2) - 2*A^(-14)*v - A^(-14)*v^(3) + 2*A^(-10)*v - A^(-6)*v
k5.212m	- A^(6)*v + 2*A^(10)*v - 2*A^(14)*v - A^(14)*v^(3) - A^(16) - A^(16)*v^(2) + A^(18)*v + A^(18)*v^(3) + A^(20) + A^(20)*v^(2) - A^(22)*v - A^(24)
k5.213	- A^(-24) - A^(-22)*v + A^(-20) + A^(-20)*v^(2) + A^(-18)*v + A^(-18)*v^(3) - A^(-16)*v^(2) - A^(-14)*v - A^(-14)*v^(3) + A^(-12) + 2*A^(-10)*v - A^(-6)*v
k5.213m	- A^(6)*v + 2*A^(10)*v + A^(12) - A^(14)*v - A^(14)*v^(3) - A^(16)*v^(2) + A^(18)*v + A^(18)*v^(3) + A^(20) + A^(20)*v^(2) - A^(22)*v - A^(24)
