0_1	+ 1
6_27|6_27ms	+ A^(-8) - 2*A^(-4) - 2*A^(-2) + 2 + 3*A^(2) + A^(4) - A^(6) - A^(8)
6_27s|6_27m	- A^(-8) - A^(-6) + A^(-4) + 3*A^(-2) + 2 - 2*A^(2) - 2*A^(4) + A^(8)
6_28|6_28ms	- A^(2) + A^(4) + 2*A^(6) - 2*A^(10) + 2*A^(14) + A^(16) - A^(18) - A^(20)
6_28s|6_28m	- A^(-20) - A^(-18) + A^(-16) + 2*A^(-14) - 2*A^(-10) + 2*A^(-6) + A^(-4) - A^(-2)
6_29|6_29ms	+ A^(12) + A^(14) + A^(16) - A^(18) - A^(20) + A^(24) - A^(28)
6_29s|6_29m	- A^(-28) + A^(-24) - A^(-20) - A^(-18) + A^(-16) + A^(-14) + A^(-12)
6_32|6_32ms	+ A^(4) + A^(6) - A^(8) - 2*A^(10) + A^(12) + 2*A^(14) + A^(16) - A^(18) - A^(20)
6_32s|6_32m	- A^(-20) - A^(-18) + A^(-16) + 2*A^(-14) + A^(-12) - 2*A^(-10) - A^(-8) + A^(-6) + A^(-4)
6_33|6_33ms	+ A^(12) + A^(14) + A^(16) + A^(18) - A^(20) - 2*A^(22) - A^(24) + A^(28)
6_33s|6_33m	+ A^(-28) - A^(-24) - 2*A^(-22) - A^(-20) + A^(-18) + A^(-16) + A^(-14) + A^(-12)
6_34|6_34ms	- A^(-14) - A^(-12) + A^(-10) + 2*A^(-8) + A^(-6) - A^(-4) - A^(-2) + 1
6_34s|6_34m	+ 1 - A^(2) - A^(4) + A^(6) + 2*A^(8) + A^(10) - A^(12) - A^(14)
6_35|6_35ms	- A^(-2) - 1 + A^(2) + 3*A^(4) + 2*A^(6) - A^(8) - 2*A^(10)
6_35s|6_35m	- 2*A^(-10) - A^(-8) + 2*A^(-6) + 3*A^(-4) + A^(-2) - 1 - A^(2)
6_36|6_36ms	+ A^(-4) + A^(-2) - 2 - 3*A^(2) + A^(4) + 4*A^(6) + 2*A^(8) - 2*A^(10) - A^(12)
